Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Not Appl.
DATE       : 18/08/2021
TIME       : 20:27:52
FILENAME   : C:\Users\JOKAM LINE\Documents\ProSEP\Mission\Juillet2021\Data\Datalogger\PROSEP\CSV\Douka_Longo_Baro_210818202752_BX056.CSV
CREATED BY : Diver-Office 11.2.0.1
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =BB00-BX056  219.
  Instrument number       =          UTC+1     
                          =0
  Location                =Douka_Longo_Baro
  Sample period           =H01
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =750,000   cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


[Series settings]
  Serial number           =BB00-BX056  219.
  Instrument number       =          UTC+1     
  Location                =Douka_Longo_Baro
  Sample period           =00 01:00:00 0
  Sample method           =T   
  Start date / time       =00:00:12 24/03/21
  End date / time         =00:00:10 17/08/21
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =750,000   cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


Date/time;Pressure[cmH2O];Temperature[°C]
2021/04/04 20:00:00;1002,950;26,420
2021/04/04 21:00:00;1003,375;24,880
2021/04/04 22:00:00;1003,950;23,333
2021/04/04 23:00:00;1004,025;22,160
2021/04/05 00:00:00;1003,875;21,310
2021/04/05 01:00:00;1003,575;20,600
2021/04/05 02:00:00;1003,000;19,897
2021/04/05 03:00:00;1003,200;19,333
2021/04/05 04:00:00;1003,625;18,857
2021/04/05 05:00:00;1004,200;18,450
2021/04/05 06:00:00;1004,375;18,043
2021/04/05 07:00:00;1005,325;18,950
2021/04/05 08:00:00;1006,225;25,460
2021/04/05 09:00:00;1006,475;33,333
2021/04/05 10:00:00;1006,250;38,397
2021/04/05 11:00:00;1005,725;39,723
2021/04/05 12:00:00;1004,400;40,053
2021/04/05 13:00:00;1002,900;41,170
2021/04/05 14:00:00;1001,625;43,780
2021/04/05 15:00:00;1000,675;42,513
2021/04/05 16:00:00;1000,125;40,933
2021/04/05 17:00:00;1000,175;40,030
2021/04/05 18:00:00;1000,375;36,647
2021/04/05 19:00:00;1000,800;30,567
2021/04/05 20:00:00;1001,825;27,567
2021/04/05 21:00:00;1002,325;25,863
2021/04/05 22:00:00;1002,575;24,717
2021/04/05 23:00:00;1002,575;23,967
2021/04/06 00:00:00;1002,625;23,333
2021/04/06 01:00:00;1002,000;22,810
2021/04/06 02:00:00;1001,675;22,350
2021/04/06 03:00:00;1001,550;21,770
2021/04/06 04:00:00;1002,200;21,293
2021/04/06 05:00:00;1002,825;20,577
2021/04/06 06:00:00;1003,375;19,973
2021/04/06 07:00:00;1004,400;20,880
2021/04/06 08:00:00;1005,350;26,770
2021/04/06 09:00:00;1005,675;34,363
2021/04/06 10:00:00;1005,600;39,067
2021/04/06 11:00:00;1005,050;39,270
2021/04/06 12:00:00;1003,975;40,013
2021/04/06 13:00:00;1002,325;41,653
2021/04/06 14:00:00;1001,325;43,710
2021/04/06 15:00:00;999,850;42,850
2021/04/06 16:00:00;999,225;41,897
2021/04/06 17:00:00;999,100;41,193
2021/04/06 18:00:00;999,300;38,733
2021/04/06 19:00:00;1000,000;31,147
2021/04/06 20:00:00;1001,000;28,077
2021/04/06 21:00:00;1001,550;26,410
2021/04/06 22:00:00;1002,125;25,233
2021/04/06 23:00:00;1002,200;24,083
2021/04/07 00:00:00;1002,250;23,247
2021/04/07 01:00:00;1002,000;22,467
2021/04/07 02:00:00;1001,800;22,083
2021/04/07 03:00:00;1002,375;22,740
2021/04/07 04:00:00;1002,450;22,433
2021/04/07 05:00:00;1003,250;22,433
2021/04/07 06:00:00;1004,150;22,613
2021/04/07 07:00:00;1005,200;23,460
2021/04/07 08:00:00;1006,350;26,677
2021/04/07 09:00:00;1006,750;34,113
2021/04/07 10:00:00;1006,125;38,303
2021/04/07 11:00:00;1005,550;39,240
2021/04/07 12:00:00;1004,350;39,857
2021/04/07 13:00:00;1002,950;41,607
2021/04/07 14:00:00;1001,700;42,717
2021/04/07 15:00:00;1001,000;42,427
2021/04/07 16:00:00;1000,375;41,833
2021/04/07 17:00:00;999,925;41,013
2021/04/07 18:00:00;1000,050;35,543
2021/04/07 19:00:00;1000,875;30,910
2021/04/07 20:00:00;1001,625;28,530
2021/04/07 21:00:00;1002,000;27,137
2021/04/07 22:00:00;1002,700;26,013
2021/04/07 23:00:00;1002,750;24,833
2021/04/08 00:00:00;1002,450;23,833
2021/04/08 01:00:00;1002,200;23,403
2021/04/08 02:00:00;1001,925;23,590
2021/04/08 03:00:00;1002,075;23,467
2021/04/08 04:00:00;1002,375;23,280
2021/04/08 05:00:00;1002,750;22,113
2021/04/08 06:00:00;1003,625;21,137
2021/04/08 07:00:00;1004,525;22,123
2021/04/08 08:00:00;1005,350;28,113
2021/04/08 09:00:00;1006,000;35,420
2021/04/08 10:00:00;1005,800;39,380
2021/04/08 11:00:00;1004,850;40,513
2021/04/08 12:00:00;1003,650;41,583
2021/04/08 13:00:00;1001,875;43,433
2021/04/08 14:00:00;1000,050;45,833
2021/04/08 15:00:00;998,650;44,577
2021/04/08 16:00:00;998,100;42,683
2021/04/08 17:00:00;997,600;41,990
2021/04/08 18:00:00;998,275;41,160
2021/04/08 19:00:00;998,600;33,920
2021/04/08 20:00:00;999,475;29,583
2021/04/08 21:00:00;1000,500;28,770
2021/04/08 22:00:00;1001,050;28,200
2021/04/08 23:00:00;1000,625;26,757
2021/04/09 00:00:00;1001,125;25,863
2021/04/09 01:00:00;1000,675;26,137
2021/04/09 02:00:00;1000,625;25,240
2021/04/09 03:00:00;1000,425;24,613
2021/04/09 04:00:00;1000,375;23,827
2021/04/09 05:00:00;1000,675;22,803
2021/04/09 06:00:00;1001,300;22,193
2021/04/09 07:00:00;1003,075;23,363
2021/04/09 08:00:00;1004,400;29,053
2021/04/09 09:00:00;1004,525;34,177
2021/04/09 10:00:00;1004,225;36,850
2021/04/09 11:00:00;1003,850;38,077
2021/04/09 12:00:00;1002,950;39,553
2021/04/09 13:00:00;1001,500;41,270
2021/04/09 14:00:00;1000,050;42,740
2021/04/09 15:00:00;998,800;42,113
2021/04/09 16:00:00;998,025;40,543
2021/04/09 17:00:00;997,725;39,240
2021/04/09 18:00:00;998,350;37,600
2021/04/09 19:00:00;999,800;31,757
2021/04/09 20:00:00;1001,425;31,613
2021/04/09 21:00:00;1002,450;33,327
2021/04/09 22:00:00;1002,825;33,460
2021/04/09 23:00:00;1002,875;33,090
2021/04/10 00:00:00;1001,500;31,887
2021/04/10 01:00:00;1001,250;30,363
2021/04/10 02:00:00;1001,175;28,263
2021/04/10 03:00:00;1001,375;27,257
2021/04/10 04:00:00;1001,250;26,387
2021/04/10 05:00:00;1001,800;26,397
2021/04/10 06:00:00;1002,075;25,927
2021/04/10 07:00:00;1002,875;27,803
2021/04/10 08:00:00;1003,700;30,833
2021/04/10 09:00:00;1004,200;33,710
2021/04/10 10:00:00;1004,400;35,280
2021/04/10 11:00:00;1003,450;36,427
2021/04/10 12:00:00;1002,525;38,030
2021/04/10 13:00:00;1001,250;39,350
2021/04/10 14:00:00;999,925;41,397
2021/04/10 15:00:00;998,850;40,443
2021/04/10 16:00:00;997,900;39,840
2021/04/10 17:00:00;997,450;39,677
2021/04/10 18:00:00;998,675;39,233
2021/04/10 19:00:00;1001,500;32,460
2021/04/10 20:00:00;1001,500;30,833
2021/04/10 21:00:00;1002,825;30,717
2021/04/10 22:00:00;1002,750;29,757
2021/04/10 23:00:00;1001,500;29,763
2021/04/11 00:00:00;1000,875;29,780
2021/04/11 01:00:00;1001,425;29,530
2021/04/11 02:00:00;1000,550;29,200
2021/04/11 03:00:00;1001,125;28,780
2021/04/11 04:00:00;1000,425;28,677
2021/04/11 05:00:00;1001,300;28,170
2021/04/11 06:00:00;1002,000;28,007
2021/04/11 07:00:00;1003,200;27,880
2021/04/11 08:00:00;1004,325;30,850
2021/04/11 09:00:00;1004,775;32,683
2021/04/11 10:00:00;1004,925;34,100
2021/04/11 11:00:00;1004,650;36,530
2021/04/11 12:00:00;1003,850;38,317
2021/04/11 13:00:00;1002,775;39,677
2021/04/11 14:00:00;1001,500;40,983
2021/04/11 15:00:00;1000,125;39,683
2021/04/11 16:00:00;999,600;39,177
2021/04/11 17:00:00;999,725;38,660
2021/04/11 18:00:00;1000,500;35,217
2021/04/11 19:00:00;1001,575;33,340
2021/04/11 20:00:00;1002,375;31,363
2021/04/11 21:00:00;1002,950;31,827
2021/04/11 22:00:00;1003,875;30,967
2021/04/11 23:00:00;1003,825;29,193
2021/04/12 00:00:00;1004,075;27,810
2021/04/12 01:00:00;1003,700;27,090
2021/04/12 02:00:00;1003,900;26,833
2021/04/12 03:00:00;1004,150;28,397
2021/04/12 04:00:00;1003,950;28,577
2021/04/12 05:00:00;1004,400;28,637
2021/04/12 06:00:00;1004,950;26,973
2021/04/12 07:00:00;1006,100;27,310
2021/04/12 08:00:00;1006,850;30,710
2021/04/12 09:00:00;1007,575;33,520
2021/04/12 10:00:00;1007,100;34,460
2021/04/12 11:00:00;1006,875;36,240
2021/04/12 12:00:00;1005,550;37,997
2021/04/12 13:00:00;1004,150;39,927
2021/04/12 14:00:00;1002,700;41,160
2021/04/12 15:00:00;1001,825;40,660
2021/04/12 16:00:00;1001,000;39,850
2021/04/12 17:00:00;1000,800;39,997
2021/04/12 18:00:00;1001,200;38,200
2021/04/12 19:00:00;1001,825;33,483
2021/04/12 20:00:00;1002,325;31,600
2021/04/12 21:00:00;1003,700;32,303
2021/04/12 22:00:00;1004,400;31,327
2021/04/12 23:00:00;1004,775;28,757
2021/04/13 00:00:00;1003,900;27,490
2021/04/13 01:00:00;1003,325;26,630
2021/04/13 02:00:00;1003,400;27,147
2021/04/13 03:00:00;1003,150;26,567
2021/04/13 04:00:00;1003,700;26,623
2021/04/13 05:00:00;1004,075;26,443
2021/04/13 06:00:00;1005,225;26,623
2021/04/13 07:00:00;1005,975;27,257
2021/04/13 08:00:00;1006,975;28,257
2021/04/13 09:00:00;1007,025;28,810
2021/04/13 10:00:00;1006,800;32,387
2021/04/13 11:00:00;1006,725;34,240
2021/04/13 12:00:00;1006,500;34,803
2021/04/13 13:00:00;1005,175;35,327
2021/04/13 14:00:00;1004,025;35,670
2021/04/13 15:00:00;1003,325;34,983
2021/04/13 16:00:00;1002,575;35,700
2021/04/13 17:00:00;1002,575;37,520
2021/04/13 18:00:00;1002,900;36,030
2021/04/13 19:00:00;1004,350;33,863
2021/04/13 20:00:00;1006,225;28,327
2021/04/13 21:00:00;1009,325;27,037
2021/04/13 22:00:00;1010,050;24,200
2021/04/13 23:00:00;1008,975;23,287
2021/04/14 00:00:00;1006,850;23,543
2021/04/14 01:00:00;1005,200;24,177
2021/04/14 02:00:00;1003,950;24,787
2021/04/14 03:00:00;1004,200;24,677
2021/04/14 04:00:00;1004,025;24,793
2021/04/14 05:00:00;1004,325;24,507
2021/04/14 06:00:00;1005,075;24,293
2021/04/14 07:00:00;1006,475;24,967
2021/04/14 08:00:00;1007,275;25,920
2021/04/14 09:00:00;1007,850;29,683
2021/04/14 10:00:00;1007,625;32,567
2021/04/14 11:00:00;1007,100;33,123
2021/04/14 12:00:00;1006,375;34,583
2021/04/14 13:00:00;1005,100;37,600
2021/04/14 14:00:00;1003,400;39,363
2021/04/14 15:00:00;1002,450;38,787
2021/04/14 16:00:00;1001,500;37,983
2021/04/14 17:00:00;1001,050;36,590
2021/04/14 18:00:00;1001,250;34,443
2021/04/14 19:00:00;1002,125;30,530
2021/04/14 20:00:00;1003,000;28,293
2021/04/14 21:00:00;1003,450;27,247
2021/04/14 22:00:00;1004,200;26,700
2021/04/14 23:00:00;1004,200;27,193
2021/04/15 00:00:00;1003,650;26,327
2021/04/15 01:00:00;1003,125;25,677
2021/04/15 02:00:00;1003,250;25,083
2021/04/15 03:00:00;1002,950;24,543
2021/04/15 04:00:00;1003,125;24,363
2021/04/15 05:00:00;1003,750;24,770
2021/04/15 06:00:00;1004,400;25,083
2021/04/15 07:00:00;1005,400;25,857
2021/04/15 08:00:00;1006,300;29,170
2021/04/15 09:00:00;1006,600;31,833
2021/04/15 10:00:00;1006,500;33,833
2021/04/15 11:00:00;1005,850;35,960
2021/04/15 12:00:00;1005,100;37,270
2021/04/15 13:00:00;1003,775;38,763
2021/04/15 14:00:00;1002,400;40,740
2021/04/15 15:00:00;1001,000;40,647
2021/04/15 16:00:00;1000,250;39,553
2021/04/15 17:00:00;999,550;38,397
2021/04/15 18:00:00;999,350;36,177
2021/04/15 19:00:00;1000,175;32,083
2021/04/15 20:00:00;1000,875;30,607
2021/04/15 21:00:00;1001,500;29,677
